板块名称,主力资金净流入(亿),时间,趋势
BC电池,17.81,2026-05-14,↑ 净流入
TOPCon电池,13.09,2026-05-14,↑ 净流入
HJT电池,12.20,2026-05-14,↑ 净流入
激光雷达,11.26,2026-05-14,↑ 净流入
光伏电池组件,11.07,2026-05-14,↑ 净流入
光伏发电,10.02,2026-05-14,↑ 净流入
晶科科技,9.46,2026-05-14,↑ 净流入
钙钛矿电池,9.02,2026-05-14,↑ 净流入
地摊经济,8.77,2026-05-14,↑ 净流入
猪肉概念,8.72,2026-05-14,↑ 净流入
环氧丙烷,8.19,2026-05-14,↑ 净流入
光伏加工设备,7.87,2026-05-14,↑ 净流入
养殖业,7.27,2026-05-14,↑ 净流入
生猪养殖,7.16,2026-05-14,↑ 净流入
氦气概念,7.12,2026-05-14,↑ 净流入
永鼎股份,7.02,2026-05-14,↑ 净流入
碳基材料,6.52,2026-05-14,↑ 净流入
其他化学制品,5.88,2026-05-14,↑ 净流入
双良节能,4.97,2026-05-14,↑ 净流入
AI手机,4.88,2026-05-14,↑ 净流入
聚氨酯,4.71,2026-05-14,↑ 净流入
三安光电,4.65,2026-05-14,↑ 净流入
中天科技,4.23,2026-05-14,↑ 净流入
国有大型银行Ⅲ,4.16,2026-05-14,↑ 净流入
共进股份,3.90,2026-05-14,↑ 净流入
株冶集团,3.84,2026-05-14,↑ 净流入
植物照明,3.82,2026-05-14,↑ 净流入
航运,3.62,2026-05-14,↑ 净流入
光伏设备,3.61,2026-05-14,↑ 净流入
银行,3.54,2026-05-14,↑ 净流入
银行Ⅱ,3.54,2026-05-14,↑ 净流入
EDA概念,3.47,2026-05-14,↑ 净流入
电信运营商,3.47,2026-05-14,↑ 净流入
中国石油,3.42,2026-05-14,↑ 净流入
京运通,3.40,2026-05-14,↑ 净流入
铅锌,3.14,2026-05-14,↑ 净流入
招商南油,3.01,2026-05-14,↑ 净流入
光伏辅材,2.96,2026-05-14,↑ 净流入
化学制品,2.85,2026-05-14,↑ 净流入
航运港口,2.78,2026-05-14,↑ 净流入
天富能源,2.74,2026-05-14,↑ 净流入
硅料硅片,2.61,2026-05-14,↑ 净流入
其他专用设备,2.61,2026-05-14,↑ 净流入
煤化工,2.51,2026-05-14,↑ 净流入
空调,2.38,2026-05-14,↑ 净流入
中远海控,2.36,2026-05-14,↑ 净流入
退税商店,2.35,2026-05-14,↑ 净流入
豫光金铅,2.34,2026-05-14,↑ 净流入
白色家电,2.28,2026-05-14,↑ 净流入
鸡肉概念,2.18,2026-05-14,↑ 净流入
涪陵电力,2.18,2026-05-14,↑ 净流入
软饮料,2.17,2026-05-14,↑ 净流入
小商品城,2.16,2026-05-14,↑ 净流入
耐火材料,2.03,2026-05-14,↑ 净流入
饮料乳品,1.86,2026-05-14,↑ 净流入
有研新材,1.84,2026-05-14,↑ 净流入
先导基电,1.83,2026-05-14,↑ 净流入
华康股份,1.83,2026-05-14,↑ 净流入
城商行Ⅲ,1.82,2026-05-14,↑ 净流入
华正新材,1.74,2026-05-14,↑ 净流入
津药药业,1.68,2026-05-14,↑ 净流入
东方证券,1.66,2026-05-14,↑ 净流入
华光环能,1.63,2026-05-14,↑ 净流入
减速器,1.62,2026-05-14,↑ 净流入
中国电信,1.61,2026-05-14,↑ 净流入
永和股份,1.58,2026-05-14,↑ 净流入
红利破净股,1.52,2026-05-14,↑ 净流入
LED,1.50,2026-05-14,↑ 净流入
弘元绿能,1.49,2026-05-14,↑ 净流入
农业银行,1.49,2026-05-14,↑ 净流入
金牛化工,1.46,2026-05-14,↑ 净流入
中国神华,1.43,2026-05-14,↑ 净流入
工商银行,1.39,2026-05-14,↑ 净流入
一般零售,1.30,2026-05-14,↑ 净流入
品牌消费电子,1.24,2026-05-14,↑ 净流入
养元饮品,1.22,2026-05-14,↑ 净流入
宝丰能源,1.21,2026-05-14,↑ 净流入
期货,1.20,2026-05-14,↑ 净流入
上海银行,1.18,2026-05-14,↑ 净流入
宁夏建材,1.13,2026-05-14,↑ 净流入
