板块名称,主力资金净流入(亿),时间,趋势
华懋科技,1.12,2026-05-14,↑ 净流入
贵州燃气,1.09,2026-05-14,↑ 净流入
商业物业经营,1.06,2026-05-14,↑ 净流入
长寿药,1.06,2026-05-14,↑ 净流入
交通银行,1.03,2026-05-14,↑ 净流入
食品及饲料添加剂,1.02,2026-05-14,↑ 净流入
旭光电子,1.00,2026-05-14,↑ 净流入
有机硅,1.00,2026-05-14,↑ 净流入
燃气Ⅲ,0.98,2026-05-14,↑ 净流入
燃气Ⅱ,0.98,2026-05-14,↑ 净流入
中国联通,0.96,2026-05-14,↑ 净流入
成品家居,0.96,2026-05-14,↑ 净流入
宏昌电子,0.95,2026-05-14,↑ 净流入
水泥制品,0.94,2026-05-14,↑ 净流入
可川科技,0.92,2026-05-14,↑ 净流入
中国移动,0.90,2026-05-14,↑ 净流入
炼油化工,0.88,2026-05-14,↑ 净流入
赛腾股份,0.87,2026-05-14,↑ 净流入
中持股份,0.86,2026-05-14,↑ 净流入
南华期货,0.86,2026-05-14,↑ 净流入
东鹏饮料,0.84,2026-05-14,↑ 净流入
苏博特,0.80,2026-05-14,↑ 净流入
至纯科技,0.76,2026-05-14,↑ 净流入
春秋电子,0.76,2026-05-14,↑ 净流入
中国中免,0.75,2026-05-14,↑ 净流入
宁波中百,0.75,2026-05-14,↑ 净流入
博威合金,0.72,2026-05-14,↑ 净流入
麒盛科技,0.71,2026-05-14,↑ 净流入
新泉股份,0.70,2026-05-14,↑ 净流入
旅游零售Ⅲ,0.69,2026-05-14,↑ 净流入
旅游零售Ⅱ,0.69,2026-05-14,↑ 净流入
凌云股份,0.68,2026-05-14,↑ 净流入
非白酒,0.67,2026-05-14,↑ 净流入
其他酒类,0.67,2026-05-14,↑ 净流入
千里科技,0.67,2026-05-14,↑ 净流入
中国汽研,0.66,2026-05-14,↑ 净流入
金田股份,0.66,2026-05-14,↑ 净流入
司太立,0.66,2026-05-14,↑ 净流入
君正集团,0.65,2026-05-14,↑ 净流入
举牌,0.65,2026-05-14,↑ 净流入
华夏银行,0.65,2026-05-14,↑ 净流入
晶方科技,0.64,2026-05-14,↑ 净流入
耀皮玻璃,0.64,2026-05-14,↑ 净流入
百傲化学,0.63,2026-05-14,↑ 净流入
国际工程,0.63,2026-05-14,↑ 净流入
氮化镓,0.61,2026-05-14,↑ 净流入
家居用品,0.60,2026-05-14,↑ 净流入
宏柏新材,0.59,2026-05-14,↑ 净流入
天域生物,0.58,2026-05-14,↑ 净流入
湘财股份,0.58,2026-05-14,↑ 净流入
纯碱,0.56,2026-05-14,↑ 净流入
圣龙股份,0.56,2026-05-14,↑ 净流入
北自科技,0.56,2026-05-14,↑ 净流入
安德利,0.56,2026-05-14,↑ 净流入
凯盛科技,0.54,2026-05-14,↑ 净流入
涂料油墨,0.53,2026-05-14,↑ 净流入
水产饲料,0.52,2026-05-14,↑ 净流入
新宏泰,0.48,2026-05-14,↑ 净流入
龙高股份,0.48,2026-05-14,↑ 净流入
其他运输设备,0.47,2026-05-14,↑ 净流入
衢州发展,0.47,2026-05-14,↑ 净流入
晨光新材,0.46,2026-05-14,↑ 净流入
摩托车及其他,0.46,2026-05-14,↑ 净流入
圣晖集成,0.45,2026-05-14,↑ 净流入
神农集团,0.45,2026-05-14,↑ 净流入
宝钢股份,0.45,2026-05-14,↑ 净流入
饲料,0.45,2026-05-14,↑ 净流入
博敏电子,0.44,2026-05-14,↑ 净流入
东方材料,0.44,2026-05-14,↑ 净流入
驰宏锌锗,0.43,2026-05-14,↑ 净流入
晶华新材,0.43,2026-05-14,↑ 净流入
工业气体,0.43,2026-05-14,↑ 净流入
日盈电子,0.42,2026-05-14,↑ 净流入
恒立液压,0.42,2026-05-14,↑ 净流入
邮储银行,0.42,2026-05-14,↑ 净流入
跨境物流,0.41,2026-05-14,↑ 净流入
塑料包装,0.41,2026-05-14,↑ 净流入
腾龙股份,0.40,2026-05-14,↑ 净流入
炼化及贸易,0.39,2026-05-14,↑ 净流入
今世缘,0.39,2026-05-14,↑ 净流入
瓷砖地板,0.38,2026-05-14,↑ 净流入
华体科技,0.37,2026-05-14,↑ 净流入
肉鸡养殖,0.37,2026-05-14,↑ 净流入
永安期货,0.37,2026-05-14,↑ 净流入
南京银行,0.37,2026-05-14,↑ 净流入
建设银行,0.36,2026-05-14,↑ 净流入
星德胜,0.36,2026-05-14,↑ 净流入
中远海发,0.36,2026-05-14,↑ 净流入
三友化工,0.36,2026-05-14,↑ 净流入
嵘泰股份,0.35,2026-05-14,↑ 净流入
海星股份,0.35,2026-05-14,↑ 净流入
其他自动化设备,0.34,2026-05-14,↑ 净流入
继峰股份,0.34,2026-05-14,↑ 净流入
光电股份,0.34,2026-05-14,↑ 净流入
沧州大化,0.33,2026-05-14,↑ 净流入
齐鲁银行,0.33,2026-05-14,↑ 净流入
中国中车,0.33,2026-05-14,↑ 净流入
联环药业,0.33,2026-05-14,↑ 净流入
氨纶,0.31,2026-05-14,↑ 净流入
晋拓股份,0.31,2026-05-14,↑ 净流入
浙能电力,0.30,2026-05-14,↑ 净流入
三江购物,0.29,2026-05-14,↑ 净流入
巨星农牧,0.29,2026-05-14,↑ 净流入
用友网络,0.29,2026-05-14,↑ 净流入
畜禽饲料,0.29,2026-05-14,↑ 净流入
福达合金,0.28,2026-05-14,↑ 净流入
金种子酒,0.28,2026-05-14,↑ 净流入
来伊份,0.27,2026-05-14,↑ 净流入
百货,0.27,2026-05-14,↑ 净流入
古越龙山,0.27,2026-05-14,↑ 净流入
中体产业,0.27,2026-05-14,↑ 净流入
上海临港,0.27,2026-05-14,↑ 净流入
中国科传,0.27,2026-05-14,↑ 净流入
华升股份,0.27,2026-05-14,↑ 净流入
ST中路,0.27,2026-05-14,↑ 净流入
键邦股份,0.26,2026-05-14,↑ 净流入
花王股份,0.26,2026-05-14,↑ 净流入
永新光学,0.26,2026-05-14,↑ 净流入
贵广网络,0.26,2026-05-14,↑ 净流入
韩建河山,0.25,2026-05-14,↑ 净流入
福能股份,0.25,2026-05-14,↑ 净流入
绿色动力,0.25,2026-05-14,↑ 净流入
国新能源,0.25,2026-05-14,↑ 净流入
重庆银行,0.25,2026-05-14,↑ 净流入
华新建材,0.24,2026-05-14,↑ 净流入
江南新材,0.24,2026-05-14,↑ 净流入
亨通股份,0.24,2026-05-14,↑ 净流入
*ST高科,0.23,2026-05-14,↑ 净流入
九丰能源,0.23,2026-05-14,↑ 净流入
安井食品,0.23,2026-05-14,↑ 净流入
三人行,0.23,2026-05-14,↑ 净流入
中视传媒,0.23,2026-05-14,↑ 净流入
华能水电,0.22,2026-05-14,↑ 净流入
太龙药业,0.22,2026-05-14,↑ 净流入
天成自控,0.21,2026-05-14,↑ 净流入
百合花,0.21,2026-05-14,↑ 净流入
广东明珠,0.21,2026-05-14,↑ 净流入
会稽山,0.21,2026-05-14,↑ 净流入
ST喜临门,0.21,2026-05-14,↑ 净流入
铁流股份,0.21,2026-05-14,↑ 净流入
深圳燃气,0.21,2026-05-14,↑ 净流入
雅运股份,0.21,2026-05-14,↑ 净流入
岱美股份,0.20,2026-05-14,↑ 净流入
中材国际,0.20,2026-05-14,↑ 净流入
中远海特,0.20,2026-05-14,↑ 净流入
金徽酒,0.20,2026-05-14,↑ 净流入
上实发展,0.20,2026-05-14,↑ 净流入
济川药业,0.19,2026-05-14,↑ 净流入
华通线缆,0.19,2026-05-14,↑ 净流入
必得科技,0.19,2026-05-14,↑ 净流入
通威股份,0.19,2026-05-14,↑ 净流入
氯碱,0.19,2026-05-14,↑ 净流入
哈森股份,0.19,2026-05-14,↑ 净流入
新赛股份,0.18,2026-05-14,↑ 净流入
羚锐制药,0.18,2026-05-14,↑ 净流入
江苏银行,0.18,2026-05-14,↑ 净流入
超颖电子,0.18,2026-05-14,↑ 净流入
福田汽车,0.18,2026-05-14,↑ 净流入
百联股份,0.18,2026-05-14,↑ 净流入
歌华有线,0.17,2026-05-14,↑ 净流入
麦迪科技,0.17,2026-05-14,↑ 净流入
水泥,0.17,2026-05-14,↑ 净流入
红豆股份,0.17,2026-05-14,↑ 净流入
百达精工,0.17,2026-05-14,↑ 净流入
华之杰,0.17,2026-05-14,↑ 净流入
宁波海运,0.17,2026-05-14,↑ 净流入
华荣股份,0.16,2026-05-14,↑ 净流入
京能置业,0.16,2026-05-14,↑ 净流入
体育Ⅲ,0.16,2026-05-14,↑ 净流入
体育Ⅱ,0.16,2026-05-14,↑ 净流入
肯特催化,0.16,2026-05-14,↑ 净流入
云维股份,0.16,2026-05-14,↑ 净流入
常青科技,0.16,2026-05-14,↑ 净流入
浙江医药,0.16,2026-05-14,↑ 净流入
舍得酒业,0.16,2026-05-14,↑ 净流入
方大特钢,0.16,2026-05-14,↑ 净流入
保健品,0.15,2026-05-14,↑ 净流入
同力天启,0.15,2026-05-14,↑ 净流入
祥龙电业,0.15,2026-05-14,↑ 净流入
盛景微,0.15,2026-05-14,↑ 净流入
新疆火炬,0.15,2026-05-14,↑ 净流入
滨化股份,0.15,2026-05-14,↑ 净流入
浦发银行,0.15,2026-05-14,↑ 净流入
明泰铝业,0.15,2026-05-14,↑ 净流入
凯盛新能,0.15,2026-05-14,↑ 净流入
长城电工,0.15,2026-05-14,↑ 净流入
重庆啤酒,0.14,2026-05-14,↑ 净流入
锦和商管,0.14,2026-05-14,↑ 净流入
淮北矿业,0.14,2026-05-14,↑ 净流入
天津港,0.14,2026-05-14,↑ 净流入
贵阳银行,0.14,2026-05-14,↑ 净流入
迎驾贡酒,0.14,2026-05-14,↑ 净流入
华勤技术,0.14,2026-05-14,↑ 净流入
建业股份,0.14,2026-05-14,↑ 净流入
永茂泰,0.13,2026-05-14,↑ 净流入
江苏索普,0.13,2026-05-14,↑ 净流入
青岛啤酒,0.13,2026-05-14,↑ 净流入
廊坊发展,0.13,2026-05-14,↑ 净流入
新集能源,0.13,2026-05-14,↑ 净流入
赛轮轮胎,0.13,2026-05-14,↑ 净流入
工控设备,0.12,2026-05-14,↑ 净流入
永杰新材,0.12,2026-05-14,↑ 净流入
亿嘉和,0.12,2026-05-14,↑ 净流入
万盛股份,0.12,2026-05-14,↑ 净流入
皇马科技,0.12,2026-05-14,↑ 净流入
中信银行,0.11,2026-05-14,↑ 净流入
文化用品,0.11,2026-05-14,↑ 净流入
农业综合Ⅲ,0.11,2026-05-14,↑ 净流入
农业综合Ⅱ,0.11,2026-05-14,↑ 净流入
厦门银行,0.11,2026-05-14,↑ 净流入
勘设股份,0.11,2026-05-14,↑ 净流入
安邦护卫,0.11,2026-05-14,↑ 净流入
衢州东峰,0.11,2026-05-14,↑ 净流入
纺织鞋类制造,0.11,2026-05-14,↑ 净流入
塞力医疗,0.11,2026-05-14,↑ 净流入
江化微,0.11,2026-05-14,↑ 净流入
*ST椰岛,0.11,2026-05-14,↑ 净流入
西藏城投,0.11,2026-05-14,↑ 净流入
零食,0.11,2026-05-14,↑ 净流入
安琪酵母,0.11,2026-05-14,↑ 净流入
中国国航,0.11,2026-05-14,↑ 净流入
九牧王,0.10,2026-05-14,↑ 净流入
华培动力,0.10,2026-05-14,↑ 净流入
海汽集团,0.10,2026-05-14,↑ 净流入
华谊集团,0.10,2026-05-14,↑ 净流入
兴业股份,0.10,2026-05-14,↑ 净流入
龙建股份,0.10,2026-05-14,↑ 净流入
北京银行,0.10,2026-05-14,↑ 净流入
长沙银行,0.10,2026-05-14,↑ 净流入
深圳新星,0.10,2026-05-14,↑ 净流入
代糖概念,0.10,2026-05-14,↑ 净流入
宁波高发,0.10,2026-05-14,↑ 净流入
建设机械,0.10,2026-05-14,↑ 净流入
京能电力,0.10,2026-05-14,↑ 净流入
华泰股份,0.10,2026-05-14,↑ 净流入
众源新材,0.09,2026-05-14,↑ 净流入
其他专业服务,0.09,2026-05-14,↑ 净流入
威龙股份,0.09,2026-05-14,↑ 净流入
迪生力,0.09,2026-05-14,↑ 净流入
水产概念,0.09,2026-05-14,↑ 净流入
汇通能源,0.09,2026-05-14,↑ 净流入
三美股份,0.09,2026-05-14,↑ 净流入
中毅达,0.09,2026-05-14,↑ 净流入
洪通燃气,0.09,2026-05-14,↑ 净流入
国药股份,0.09,2026-05-14,↑ 净流入
*ST原尚,0.09,2026-05-14,↑ 净流入
浙数文化,0.09,2026-05-14,↑ 净流入
瀚蓝环境,0.09,2026-05-14,↑ 净流入
悦达投资,0.09,2026-05-14,↑ 净流入
广誉远,0.08,2026-05-14,↑ 净流入
海油发展,0.08,2026-05-14,↑ 净流入
跨境电商,0.08,2026-05-14,↑ 净流入
浦东金桥,0.08,2026-05-14,↑ 净流入
千禾味业,0.08,2026-05-14,↑ 净流入
中文传媒,0.08,2026-05-14,↑ 净流入
辽宁成大,0.08,2026-05-14,↑ 净流入
华发股份,0.08,2026-05-14,↑ 净流入
净水概念,0.08,2026-05-14,↑ 净流入
长春燃气,0.08,2026-05-14,↑ 净流入
涂料,0.08,2026-05-14,↑ 净流入
新亚强,0.08,2026-05-14,↑ 净流入
迪贝电气,0.08,2026-05-14,↑ 净流入
水井坊,0.08,2026-05-14,↑ 净流入
元利科技,0.08,2026-05-14,↑ 净流入
海欣股份,0.08,2026-05-14,↑ 净流入
益丰药房,0.08,2026-05-14,↑ 净流入
红蜻蜓,0.08,2026-05-14,↑ 净流入
永辉超市,0.07,2026-05-14,↑ 净流入
健麾信息,0.07,2026-05-14,↑ 净流入
雪峰科技,0.07,2026-05-14,↑ 净流入
燃料电池,0.07,2026-05-14,↑ 净流入
新五丰,0.07,2026-05-14,↑ 净流入
中炬高新,0.07,2026-05-14,↑ 净流入
嘉诚国际,0.07,2026-05-14,↑ 净流入
天安新材,0.07,2026-05-14,↑ 净流入
*ST新潮,0.07,2026-05-14,↑ 净流入
上海石化,0.07,2026-05-14,↑ 净流入
华润江中,0.07,2026-05-14,↑ 净流入
妙可蓝多,0.07,2026-05-14,↑ 净流入
隆鑫通用,0.06,2026-05-14,↑ 净流入
ST信通,0.06,2026-05-14,↑ 净流入
中马传动,0.06,2026-05-14,↑ 净流入
长龄液压,0.06,2026-05-14,↑ 净流入
中创智领,0.06,2026-05-14,↑ 净流入
恒通股份,0.06,2026-05-14,↑ 净流入
管材,0.06,2026-05-14,↑ 净流入
ST东尼,0.06,2026-05-14,↑ 净流入
ST标准,0.06,2026-05-14,↑ 净流入
华贸物流,0.06,2026-05-14,↑ 净流入
浙江仙通,0.06,2026-05-14,↑ 净流入
雅戈尔,0.06,2026-05-14,↑ 净流入
新天然气,0.06,2026-05-14,↑ 净流入
三棵树,0.06,2026-05-14,↑ 净流入
中重科技,0.06,2026-05-14,↑ 净流入
思维列控,0.06,2026-05-14,↑ 净流入
比依股份,0.06,2026-05-14,↑ 净流入
鸿远电子,0.06,2026-05-14,↑ 净流入
龙江交通,0.06,2026-05-14,↑ 净流入
杭州解百,0.06,2026-05-14,↑ 净流入
公牛集团,0.06,2026-05-14,↑ 净流入
*ST利达,0.06,2026-05-14,↑ 净流入
常熟银行,0.05,2026-05-14,↑ 净流入
金辰股份,0.05,2026-05-14,↑ 净流入
家家悦,0.05,2026-05-14,↑ 净流入
济民健康,0.05,2026-05-14,↑ 净流入
迎丰股份,0.05,2026-05-14,↑ 净流入
光大银行,0.05,2026-05-14,↑ 净流入
交大昂立,0.05,2026-05-14,↑ 净流入
广日股份,0.05,2026-05-14,↑ 净流入
旗滨集团,0.05,2026-05-14,↑ 净流入
盛剑科技,0.05,2026-05-14,↑ 净流入
其他饰品,0.05,2026-05-14,↑ 净流入
梦天家居,0.05,2026-05-14,↑ 净流入
ST新华锦,0.05,2026-05-14,↑ 净流入
*ST集友,0.05,2026-05-14,↑ 净流入
广安爱众,0.05,2026-05-14,↑ 净流入
诺邦股份,0.05,2026-05-14,↑ 净流入
万朗磁塑,0.05,2026-05-14,↑ 净流入
时代新材,0.05,2026-05-14,↑ 净流入
皖天然气,0.05,2026-05-14,↑ 净流入
凯众股份,0.04,2026-05-14,↑ 净流入
连云港,0.04,2026-05-14,↑ 净流入
马钢股份,0.04,2026-05-14,↑ 净流入
东亚药业,0.04,2026-05-14,↑ 净流入
ST长园,0.04,2026-05-14,↑ 净流入
康惠股份,0.04,2026-05-14,↑ 净流入
东宏股份,0.04,2026-05-14,↑ 净流入
宇通重工,0.04,2026-05-14,↑ 净流入
沃格光电,0.04,2026-05-14,↑ 净流入
天和磁材,0.04,2026-05-14,↑ 净流入
铁龙物流,0.04,2026-05-14,↑ 净流入
广州港,0.04,2026-05-14,↑ 净流入
弘讯科技,0.04,2026-05-14,↑ 净流入
大西洋,0.04,2026-05-14,↑ 净流入
上海能源,0.04,2026-05-14,↑ 净流入
天地源,0.04,2026-05-14,↑ 净流入
老白干酒,0.04,2026-05-14,↑ 净流入
中恒集团,0.04,2026-05-14,↑ 净流入
南京医药,0.04,2026-05-14,↑ 净流入
新奥股份,0.03,2026-05-14,↑ 净流入
兰生股份,0.03,2026-05-14,↑ 净流入
ST绝味,0.03,2026-05-14,↑ 净流入
威尔药业,0.03,2026-05-14,↑ 净流入
伊力特,0.03,2026-05-14,↑ 净流入
兴通股份,0.03,2026-05-14,↑ 净流入
赤天化,0.03,2026-05-14,↑ 净流入
海天精工,0.03,2026-05-14,↑ 净流入
京沪高铁,0.03,2026-05-14,↑ 净流入
镇海股份,0.03,2026-05-14,↑ 净流入
天宸股份,0.03,2026-05-14,↑ 净流入
禾丰股份,0.03,2026-05-14,↑ 净流入
东湖高新,0.03,2026-05-14,↑ 净流入
水星家纺,0.03,2026-05-14,↑ 净流入
福耀玻璃,0.03,2026-05-14,↑ 净流入
江淮汽车,0.03,2026-05-14,↑ 净流入
烘焙食品,0.03,2026-05-14,↑ 净流入
金桥信息,0.03,2026-05-14,↑ 净流入
会展服务,0.03,2026-05-14,↑ 净流入
万里股份,0.03,2026-05-14,↑ 净流入
康缘药业,0.03,2026-05-14,↑ 净流入
海程邦达,0.03,2026-05-14,↑ 净流入
山东钢铁,0.03,2026-05-14,↑ 净流入
*ST华鹏,0.03,2026-05-14,↑ 净流入
噪声防治,0.03,2026-05-14,↑ 净流入
海容冷链,0.03,2026-05-14,↑ 净流入
我乐家居,0.03,2026-05-14,↑ 净流入
氯碱化工,0.03,2026-05-14,↑ 净流入
博闻科技,0.03,2026-05-14,↑ 净流入
浪莎股份,0.03,2026-05-14,↑ 净流入
好当家,0.03,2026-05-14,↑ 净流入
醋化股份,0.03,2026-05-14,↑ 净流入
*ST春天,0.03,2026-05-14,↑ 净流入
海天味业,0.03,2026-05-14,↑ 净流入
南方传媒,0.03,2026-05-14,↑ 净流入
苏豪汇鸿,0.03,2026-05-14,↑ 净流入
胶黏剂及胶带,0.03,2026-05-14,↑ 净流入
片仔癀,0.03,2026-05-14,↑ 净流入
祥源文旅,0.03,2026-05-14,↑ 净流入
晋控煤业,0.02,2026-05-14,↑ 净流入
疫苗,0.02,2026-05-14,↑ 净流入
多业态零售,0.02,2026-05-14,↑ 净流入
ST金花,0.02,2026-05-14,↑ 净流入
ST美克,0.02,2026-05-14,↑ 净流入
恒盛能源,0.02,2026-05-14,↑ 净流入
*ST联翔,0.02,2026-05-14,↑ 净流入
新华百货,0.02,2026-05-14,↑ 净流入
肉制品,0.02,2026-05-14,↑ 净流入
健尔康,0.02,2026-05-14,↑ 净流入
振德医疗,0.02,2026-05-14,↑ 净流入
申通地铁,0.02,2026-05-14,↑ 净流入
建霖家居,0.02,2026-05-14,↑ 净流入
永臻股份,0.02,2026-05-14,↑ 净流入
中煤能源,0.02,2026-05-14,↑ 净流入
得邦照明,0.02,2026-05-14,↑ 净流入
万东医疗,0.02,2026-05-14,↑ 净流入
南都物业,0.02,2026-05-14,↑ 净流入
中孚实业,0.02,2026-05-14,↑ 净流入
*ST亚士,0.02,2026-05-14,↑ 净流入
常润股份,0.02,2026-05-14,↑ 净流入
口子窖,0.02,2026-05-14,↑ 净流入
明新旭腾,0.02,2026-05-14,↑ 净流入
香飘飘,0.02,2026-05-14,↑ 净流入
广信股份,0.02,2026-05-14,↑ 净流入
江山欧派,0.02,2026-05-14,↑ 净流入
鄂尔多斯,0.02,2026-05-14,↑ 净流入
中央商场,0.02,2026-05-14,↑ 净流入
盘江股份,0.02,2026-05-14,↑ 净流入
宁水集团,0.02,2026-05-14,↑ 净流入
休闲食品,0.02,2026-05-14,↑ 净流入
外服控股,0.02,2026-05-14,↑ 净流入
纵横通信,0.02,2026-05-14,↑ 净流入
梦百合,0.02,2026-05-14,↑ 净流入
卫信康,0.02,2026-05-14,↑ 净流入
国芳集团,0.02,2026-05-14,↑ 净流入
长华集团,0.02,2026-05-14,↑ 净流入
上海物贸,0.02,2026-05-14,↑ 净流入
炭黑,0.02,2026-05-14,↑ 净流入
成都燃气,0.02,2026-05-14,↑ 净流入
南京高科,0.02,2026-05-14,↑ 净流入
西安银行,0.02,2026-05-14,↑ 净流入
深高速,0.01,2026-05-14,↑ 净流入
线下药店,0.01,2026-05-14,↑ 净流入
光明肉业,0.01,2026-05-14,↑ 净流入
ST龙韵,0.01,2026-05-14,↑ 净流入
汇金通,0.01,2026-05-14,↑ 净流入
*ST四通,0.01,2026-05-14,↑ 净流入
有友食品,0.01,2026-05-14,↑ 净流入
京华激光,0.01,2026-05-14,↑ 净流入
*ST三房,0.01,2026-05-14,↑ 净流入
瑞丰银行,0.01,2026-05-14,↑ 净流入
山西焦化,0.01,2026-05-14,↑ 净流入
春雪食品,0.01,2026-05-14,↑ 净流入
龙旗科技,0.01,2026-05-14,↑ 净流入
冠石科技,0.01,2026-05-14,↑ 净流入
一鸣食品,0.01,2026-05-14,↑ 净流入
惠而浦,0.01,2026-05-14,↑ 净流入
乐惠国际,0.01,2026-05-14,↑ 净流入
南卫股份,0.01,2026-05-14,↑ 净流入
凤竹纺织,0.01,2026-05-14,↑ 净流入
泉阳泉,0.01,2026-05-14,↑ 净流入
锦江航运,0.01,2026-05-14,↑ 净流入
物产环能,0.01,2026-05-14,↑ 净流入
*ST网达,0.01,2026-05-14,↑ 净流入
新炬网络,0.01,2026-05-14,↑ 净流入
天鹅股份,0.01,2026-05-14,↑ 净流入
味知香,0.01,2026-05-14,↑ 净流入
中公高科,0.01,2026-05-14,↑ 净流入
云煤能源,0.01,2026-05-14,↑ 净流入
ST复华,0.01,2026-05-14,↑ 净流入
宁沪高速,0.01,2026-05-14,↑ 净流入
三力制药,0.01,2026-05-14,↑ 净流入
永艺股份,0.01,2026-05-14,↑ 净流入
上海雅仕,0.01,2026-05-14,↑ 净流入
利群股份,0.01,2026-05-14,↑ 净流入
啤酒,0.01,2026-05-14,↑ 净流入
好莱客,0.01,2026-05-14,↑ 净流入
惠达卫浴,0.01,2026-05-14,↑ 净流入
莱绅通灵,0.01,2026-05-14,↑ 净流入
爱婴室,0.01,2026-05-14,↑ 净流入
欧亚集团,0.01,2026-05-14,↑ 净流入
国药现代,0.01,2026-05-14,↑ 净流入
新经典,0.01,2026-05-14,↑ 净流入
岳阳林纸,0.01,2026-05-14,↑ 净流入
乐凯胶片,0.01,2026-05-14,↑ 净流入
上海凤凰,0.00,2026-05-14,↓ 净流出
浙江黎明,0.00,2026-05-14,↓ 净流出
四方科技,0.00,2026-05-14,↓ 净流出
新天绿能,0.00,2026-05-14,↓ 净流出
康尼机电,0.00,2026-05-14,↓ 净流出
首旅酒店,0.00,2026-05-14,↓ 净流出
*ST立航,0.00,2026-05-14,↓ 净流出
凤凰股份,0.00,2026-05-14,↓ 净流出
建发合诚,0.00,2026-05-14,↓ 净流出
金牌家居,0.00,2026-05-14,↓ 净流出
锦泓集团,0.00,2026-05-14,↓ 净流出
惠发食品,0.00,2026-05-14,↓ 净流出
牧高笛,0.00,2026-05-14,↓ 净流出
皖新传媒,0.00,2026-05-14,↓ 净流出
