name,net,color
人工智能,-372.56,
商业航天,-311.17,
低空经济,-173.55,
有色金属,-171.65,
云计算,-163.07,
AI应用,-135.02,
半导体,-117.21,
CPO概念,-110.38,
锂矿概念,-88.73,
电池,-88.32,
消费电子,-72.36,
创新药,-35.59,
机器人,-7.92,
白酒,-4.00,
银行,3.54,
