name,net,color
商业航天,-95.61,
有色金属,-78.09,
CPO概念,-68.50,
半导体,-54.23,
低空经济,-35.50,
锂矿概念,-31.78,
人工智能,-26.19,
电池,-26.08,
云计算,-18.31,
机器人,14.75,
白酒,-14.38,
AI应用,7.08,
创新药,-5.99,
消费电子,5.20,
银行,-2.60,
