name,net,rate
国产芯片,-203.46,-2.98
人工智能,-191.83,-4.31
CPO概念,-120.53,-4.29
半导体,-107.39,-2.41
有色金属,-76.67,-5.87
云计算,-72.35,-6.54
元件,-56.45,-3.70
低空经济,-51.78,-3.91
商业航天,-51.61,-2.31
AI应用,-40.30,-4.57
通信服务,-21.20,-10.91
通信设备,-20.67,-1.24
机器人,-13.91,-10.44
白酒,10.90,4.16
电池,9.12,0.97
消费电子,-7.95,-0.73
创新药,-7.05,-1.96
锂矿概念,-6.78,-0.98
电网设备,5.03,0.86
传媒,-3.72,-0.88
银行,-1.03,-0.53
